title,salary,region,degree,exper,company,industry,detail
招聘Java开发工程师,面议,北京,统招本科,3年以上,先锋支付有限公司,互联网/移动互联网/电子商务,岗位职责：1. 根据产品需求完成产品的设计、开发及维护；2. 相关设计完成开发文档的整理和编写； 3. 编写软件代码、完成单元测试； 4. 与产品、运营等业务人员及测试工程师协同工作； 5. 熟知大型网站或网络系统的运行瓶颈，以及对应的技术和解决方案。任职要求：1、本科或以上学历，计算机软件或相关专业，3年以上J2EE项目开发经验；2、精通J2EE及其设计模式、熟悉OOAD及相关原则、熟悉UML、Linux、HTML、JavaScipt等；3、熟悉基于oacle等数据库的设计和开发、Linux操作系统和某种脚本语言编程（如Shell等）；4、熟悉远程服务调用技术，如RMI、Hessian、WeSevices等；5、熟悉软件过程及良好的团队精神和沟通能力，能够独立完成开发任务；6、符合如下条件者优先： 有大规模并发系统的开发经验优先； 有金服、电子支付系统相关设计经验优先。福利：按照国家规定缴纳六险一金；享受高额饭补（集团总部25元出勤日）；交通补助；办公补助；采暖补助；年度健康测评；差旅补助；国家法定节日的礼品、礼券馈赠；享受国家法定休假、福利假及企业特定假期。                        
招聘java开发工程师,7-12万,天津-西青区,统招本科,1年以上,天津市木数信息科技有限公司,计算机软件,"岗位职责：负责产品相关系统的架构设计，承担核心基础模块、业务功能实现、程序设计、数据库设计和编码实现；从事We前后台开发任务，参与系统开发架构的构建并根据功能需求设计完成软件的代码实现；独立完成编码和单元测试，日常技术分享，编写开发设计过程的各相关文档；负责解决开发过程中的技术问题，参与系统的维护、升级；职位要求：1年及以上JAVA前后台开发经验；本科以上学历，计算机或相关专业优先，有MES系统、微信小程序、企业ERP等项目经验者优先；JAVA基础扎实，理解IO、线程、集合等基础框架，对JVM原理有一定的了解, 熟练使用常见设计模式、多线程开发；熟悉数据库开发（SQLseve，MySQL，oacle其中一种），及数据库结构设计；有较强的sql编写能力，sql优化能力，熟悉edis非关系型数据库；熟悉Sping、SpingBoot、MyBatis等主流框架原理，具有相关开发经验；熟练掌握JavaScipt、Ajax等We开发技术,掌握easyui等前端框架技术。                        "
招聘高级java开发工程师,18-36万,上海-张江,本科及以上,4年以上,上海电银信息技术有限公司,互联网/移动互联网/电子商务,岗位职责：1、核心功能的架构与代码编写，开发并维护系统公用核心模块以及相关文档编写；2、参与技术难点攻关，并为项目组其他成员提供技术培训和技术指导；3、负责产品的维护、改进与原型开发。4、协助项目经理的项目管控工作。职位要求：1、相关专业本科及以上学历，4年以上Java开发经验，有金融行业从业经验者优先；2、掌握常用开源框架，对sping、spingmvc、myaits有比较深入的理解；3、熟练掌握Oacle、MySQL等主流数据库，熟悉数据库建模，具备深厚的SQL功底，并有着丰富的数据库设计                        
招聘(高级)Java开发工程师-北京-00986,面议,北京,硕士及以上,4年以上,嘉实基金管理有限公司,基金/证券/期货/投资,岗位职责：参与新一代智能投研平台基础框架、产品设计、核心编码研发等工作；与金融研究人员合作，开发宏观研究、行业研究、债券研究、资产配置等金融核心模型的实现代码；持续改进平台产品的系统架构、核心算法或者核心技术等，保证系统高性能、高可靠和高可扩展性；完成项目的测试和部署等工作，保障系统可靠运行。任职条件：重点院校计算机相关专业毕业，硕士及以上学历；4年及以上Java开发经验，具备一定的系统架构能力，有金融类大型项目系统开发经验优先；熟悉Sping、Myatis、Duo、Redis等主流的开发框架 ，熟悉Maven、Git等常用工具；熟悉MySQL或Oacle数据库，能够进行数据库优化查询性能优化；认真负责，团队合作精神，良好的沟通能力和协调能力。                        
招聘中/高级Java开发工程师,13-22万,广州,大专及以上,3年以上,广东弘贝融科信息科技有限公司,农/林/牧/渔,职责描述：1、参与对客户需求的分析和设计工作；2、负责软件产品的设计、编码、单元测试工作；3、与测试人员接口，辅助测试及完成相关功能模块的BUG修复；4、编写软件开发过程中的相关技术文档；任职要求：1.精通Java开发， 掌握J2EE体系结构；2.熟练应用Sping Boot 、Sping Cloud、Sping Data JPA、Sping Secuity 、Activiti等框架技术；3.熟练应用MySQL等主流数据库技术、edis等非关系型数据库技术；4.熟练掌握Redis、Maven、Tomcat、RaitMQ等中间件；5.熟练使用HTML、CSS、JQuey等技术进行前端开发，了解Bootstap、vue等前端开发框架优先；6.熟悉linux系统，具备一定的shell编程能力；7.熟悉Hadoop生态圈Sqoop、Hive、Spak、Hase等优先。8.了解搜索引擎技术Elasticseach、Luncen、Sol优先；9.了解docke、Kuenetes优先；10.了解Istio优先；                        
招聘Java服务端开发工程师,24-48万,杭州-西溪,本科及以上,4年以上,杭州雅乐互动科技有限公司,互联网/移动互联网/电子商务,岗位职责：1、游戏服务器端逻辑开发、优化、维护； 2、游戏数据库开发、优化、维护； 3、服务器配置、优化、维护。任职要求：1、 本科及以上学历，计算机相关专业，4年以上Java开发经验，需要有游戏开发经验；2、 扎实的编程功底，熟悉常用数据结构、算法和计算机网络知识；3、 熟练掌握Java语言，熟悉多线程、集合等基础框架、熟练处理高并发优化；4、思路清晰，具备较强的沟通能力，有较强的主动性及团队合作精神，责任心强，开朗自信；5、加分项：有日活百万产品服务端开发经验优先。                        
招聘Java开发工程师,面议,北京,统招本科,1年以上,鸿泰鼎石资产管理有限责任公司,互联网/移动互联网/电子商务,"职责描述：      1. 负责公司核心系统功能调整、性能优化、ug处理；      2. 负责系统功能开发及日常系统保障；      3. 参与公司信息系统的技术规划和架构设计；任职要求：      1. 计算机相关专业毕业，全日制统招本科及以上学历；；      2. 精通Java编程，能够熟练应用spingmvc，sping，spingoot,spingcloud,myatis等主流开发框架；      3. 熟悉JS、VUE等客户端开发技术；      4. 熟悉数据库建模，熟练使用Oacle、MySQL等关系型数据库；           5、熟悉Tomcat、WeLogic等应用服务器以及LINUX系统基本命令；      6、良好的软件工程意识，熟悉常用的软件工程工具（如SVN、Git、Maven）；            7、责任心强，具备良好的沟通和团队协作能力，有金融行业经验优先。                        "
招聘ENOVIA JAVA开发工程师,7-18万,西安,本科及以上,经验不限,上海江达科技,计算机软件,负责PLM项目JAVA二次开发程序的实现1、负责依据PLM系统详细设计和开发规格说明书进行相关程序的编码工作2、负责开发程序的单元测试工作，负责编写单元测试报告，保证测试效果和记录的完整性3、编制开发程序的部署和配置说明4、按需参与PLM系统详细设计、开发规格说明书编制和系统模型配置等工作任职资格：1、本科及以上学历，计算机、机械、电子相关专业2、有PLM产品开发或客户化开发经验，理解系统各功能模块的功能设计和业务关联性，能根据客户提出的需求，进行建模和配置修改3、掌握以下开发技术：如JSP、XML、HTML、JavaScipt、We Sevices，以及Tomcat、Sping、Hienate、Stuts2等4、清楚理解PLM项目实施流程或软件项目开发流程，具有开发文档编写能力5、掌握各类IT技术，包括OS、Netwok、Dataase等，综合运用IT技术解决问题的能力强6、熟悉SVN等版本控制工具，掌握规范化的软件开发方法6、学习能力强，认真负责，积极主动，团队合作性佳7、2年以上PLM产品或项目开发经验，有Enovia开发经验者优先微信分享                        
招聘高级软件工程师（Java）,18-42万,深圳-科技园,本科及以上,5年以上,宽拓(北京)科技有限公司,计算机软件,"职责描述：1. 负责公司产品的开发；2. 参与需求分析、详细设计、数据库设计，部署和撰写相关技术文档；3. 同前端工程师、大数据开发工程师的协作，共同完成产品功能的开发、测试；4. 深入了解公司技术框架，参与并推动框架技术的升级。任职要求：1.本科及以上学历，5年以上we后台开发经验；2.计算机基础扎实；3.精通Java语言，理论基础扎实；4.熟悉spingmvc,spingoot相关技术，对微服务有实践经验。5.至少掌握Mysql、Oacle其中一门数据库语言，熟悉edis等缓存技术；6.具有很强的分析问题和解决问题的能力，攻关疑难问题的强烈兴趣，善于学习；7.强烈的责任心和良好的团队合作精神，较好的沟通能力。                        "
招聘JAVA开发工程师,面议,北京,本科及以上,2年以上,北京航天丰益信息技术有限公司,网络游戏,"职责描述：1､负责局部模块的任务开发，并按照项目设计和进度要求编码和单元测试；2.负责按照项目设计的数据库结构进行编码和单元测试；3.根据开发规范与流程独立完成编码.测试及相关文档；4.对重大的或批量的质量问题进行技术攻关，与团队其他成员一起及时解决项目开发过程中的关键问题和技术难题；5.协助项目经理及质量保证人员保证项目的质量；6.完成项项目经理安排的其他任务。任职要求：1.本科以上学历，计算机软件相关专业优先；2.熟悉java语言，对数据结构有一定的了解3.熟悉面向对象的软件设计方法，具备WEB应用开发经验优先；3.了解javascipt.jquey,AJAX.HTML.CSS等We相关技术；4. 2年及以上java语言开发经验; 编程基础扎实，熟练掌握常用数据结构和算法；5.有2年及以上应用系统的数据库（如mysql等）设计、开发经验，熟练掌握SQL； 熟悉J2EE体系架构，熟悉Sping等主流开发框架； 有主流应用服务器，如Tomcat（含内嵌模式）的部署配置及性能调试经验；6.熟悉xml，json的校验，处理，解析，转换；8.深入了解主流WEB开发框架，具备WEB应用性能优化经验和疑难问题的调试能力；7.对WEB产品设计和用户体验有一定的认知；8.具备良好的代码编程习惯.较强的文档编写能力.学习能力和沟通能力。                        "
招聘中级java开发/中级开发工程师,12-19万,佛山,本科及以上,3年以上,林氏木业,通信(设备/运营/增值),一、岗位职责：1、企业信息化系统开发、功能改进、系统性能优化；2、根据业务需求开发应用产品，完成业务流程、功能逻辑、权限控制、集成接口等开发内容；3、参与需求规格文档、功能设计文档的编写和评审；4、负责信息系统日常运维及时解决用户在日常使用过程中遇到的问题。二、任职要求：1、计算机或相关专业本科及以上学历，1-3年ERP方向开发经验优先；2、熟悉java基础类库集合、io、线程等，掌握java常用框架和技术，如SpingMVC、Myatis、Maven、SVN、GIT等，读过开源项目源代码，了解主流框架基本原理；了解分布式服务框架duo优先；了解常用的脚本语言python、lua、shell优先；3、熟悉mysql，了解其基础的存储引擎以及数据库表、sql相关优化；熟练使用分布式存储数据库nosql，例如edis、memcached、mongod，了解其原理；4、熟悉常用的数据结构和算法，有较强的的逻辑分析能力，能比较熟对指定领域的产品以及业务逻辑进行合理的抽象和拆分。5、具有良好的沟通协调能力，能接受比较高强度的抗压能力；良好的文档撰写能力；三、福利待遇：1.绩效制工资，有竞争力的岗位薪酬，适合有上进心的你。2.专业、全面的培训制度，清晰、透明的个人晋升制度3.办公环境优美、邻近国家5A级景区办公区域各种休闲、工作设施齐全4.提供公寓式住宿（小区宿舍、带空调热水器厨房阳台）5.每月500元人餐费补贴6.每月200元人活动基金，常年下午茶，惊喜生日会7.每年免费国内游。8.每月各种员工活动、联谊活动、Paty、BBQ，多个员工兴趣社团9.月休8天、周年金戒指、节日礼物。                        
招聘Java高级开发工程师,14-22万,广州-五山,统招本科,2年以上,广州百伦供应链科技有限公司,贸易/进出口,1、负责公司大数据项目后台系统代码设计与开发，确保功能按时交付；编写、审查和维护技术文档；2、负责业务和应用架构规划、设计、优化，使系统体系化并具有技术前瞻，制定代码开发规范、原型设计、技术培训等;3、负责完成重要业务模块给出合适的解决方案及核心框架的搭建及编码实现;4、澄清各系统平台技术细节，扫清主要技术难点，引导团队用架构的思路设计和规划系统，使团队的架构设计能力更上一个层面;5、研究和评估新技术和框架，持续改善和提高产品的性能、灵活性及稳定性；任职要求：1、本科以上学历，计算机软件相关专业，至少1年中大型Java项目开发经验；2、JAVA基础扎实：熟练掌握数据结构、多线程编程，掌握常用的设计模式；熟悉JVM，包括内存模型、类加载机制以及性能优化;3、熟悉sping、spingmvc spingoot等框架开发；熟悉Spingcloud架构，有微服务开发经验优先。4、有大型业务系统的架构设计和实施能力，熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制，能对分布式常用技术进行合理应用，解决实际架构问题;5、有很强的分析复杂问题和解决复杂问题的能力，有强烈的责任心和使命感;6、技术视野开阔，学习和抗压能力好，有很强的分析和解决复杂问题的能力，具备良好的沟通和组织协调能力;                        
招聘高级java开发工程师,24-36万,北京,本科及以上,3年以上,北京青石绿网科技有限公司,互联网/移动互联网/电子商务,岗位职责1、负责产品功能编写、系统性能分析及优化；2、技术难题攻关；3、理解需求，按照需求设计文档编写设计文档，实现业务核心模块；4、完成代码走查、单元测试；任职要求1、熟悉面向对象的设计模式和开发方法，有良好的编码规范和文档习惯2、精通Stuts2、Sping-cloud全家桶、JPA等3、精通SQL语句，有丰富的数据库管理、运维调优经验4、熟练使用Linux操作系统5、对大数据平台有丰富的开发经验，熟练掌握HADOOP平台技术6、责任心强，具有良好的沟通能力和团队合作意识                        
招聘JAVA高级开发工程师,14-22万,长沙-新开铺,统招本科,5年以上,湖南星图空间信息技术有限公司,互联网/移动互联网/电子商务,"职责描述：1、配合项目进行需求调研，参与需求分析；2、系统设计及文档的编写；3、系统代码开发；4、系统调试及优化；5、技术预研性工作。岗位要求：1、本科及以上学历；2、四年以上J2EE WEB项目开发经验；3、熟悉JAVA语言，MVC模式，SpingMVCSpingBoot框架,Hienate Myatis框架等，熟练使用mysqlsqlseveoacle数据库，熟悉JqueyBootstapjshtml等前端开发技术；4、熟悉linux操作系统的基本操作，有一定的网络知识；5、有GIS开发经验优先；有较强的SQL水平优先；有WEB前端开发经验优先。                        "
招聘Java初，中级开发工程师,7-12万,北京-东城区,本科及以上,3年以上,格尔软件,互联网/移动互联网/电子商务,"岗位职责：协助公司项目开发；根据需求文档进行相关产品的开发、撰写开发文档；保质保量按时完成开发任务。任职要求：全日制本科及以上学历，计算机、通信相关专业；熟悉Java编程，熟悉 JDBC,sping、sping oot；熟悉sql语句，了解sql语句性能调优；熟悉Linux系统；熟悉JavaScipt，JQuey,有前端开发经验优先考虑；熟练使用Java常见集成环境，Eclipse、Maven、Gadle、Svn等工具；有信息安全相关产品开发经验者优先；英语良好优先考虑；人生态度积极主动、认真负责、良好的沟通能力；热爱程序员工作，主动专研技术；性格活泼主动；微信分享                        "
招聘Java Engineer,面议,上海,统招本科,2年以上,美银宝,互联网/移动互联网/电子商务,"Jo ResponsiilitiesAt PayPal Gloal Data ScienceGDS team, we develop machine leaning platfom and AI applications which can enhance PayPal’s usiness. AI application is a coe poduct of PayPal’s isk and non-isk solutions, such as cedit, maketing and sales, etc. It has significantly educed PayPal’s loss, ought million dollas’ evenue and expanded to multiple domains apidly. As an enginee in GDS, you will wok closely with analytical team, undestand the equiement with cutting-edge algoithm, contiute to the coe platfom, make the eseach wok to a eal poduct. We ae looking fo stong technologists who ae passionate to solve machine leaning polems and ale to continuously delive AI solutions in scalale way.Jo Requiements•2 -3 yeas woking expeience •Hands on with Java pogaming•Solid expeience on oject-oiented and functional pogamming paadigms and usage•Expeience on deep leaning application, uilt tensoflow, pytoch etc. application o scatch MLAI famewok is ig plus•Expeience on data mining, featue engineeing, and distiuted data pogamming •Knowledge on ML application pipeline•Design patten, algoithm and the data stuctue skills •Expeience in we development is ig plus •Good veal and witten communication skills in English                        "
招聘Java开发工程师（中级）,14-22万,"北京,深圳,上海",本科及以上,2年以上,知名网数据有限公司,互联网/移动互联网/电子商务,"               职责描述：1. 参与产品项目的设计、开发和维护2. 独立完成项目模块的设计与开发3. 能按时, 高质量地完成工作4. 参与系统上线的部署与维护工作年限：2年以上工作经验优秀毕业生可放宽年限）；任职要求：1. 本科及以上学历，计算机等相关专业，熟悉软件开发生命周期2. 掌握面向对象编程，2年以上Java项目开发经验，扎实的Java编程基础3. 熟悉常用设计模式及其Java实现，掌握Sping 、Sping MVC、Myatis、Feemake、Shio等开发框架，熟悉工作流、SpingBoot优先考虑4. 熟悉Mysql、Sql Seve等主流数据库5. 熟悉welogic、Tomcat等中间件，熟悉linux命令及shell脚本6. 熟悉Maven、git、svn等项目管理工具7 熟悉HTML、Javascipt、CSS、Ajax、Jquey等前端技术8. 工作积极主动、良好的团队协作、沟通表达、问题解决能力，能承受压力，强烈的责任感和进取心            "
招聘java开发工程师,8-15万,济宁,本科及以上,3年以上,山东晖博数字科技有限公司,互联网/移动互联网/电子商务,公司主要面向大型企业集团，提供全面的生产经营管理咨询服务+数字化管理平台上线实施。该岗位要求根据公司出具的咨询方案，按照数字化项目框架进行信息化系统平台的研发，主要使用JAVA语言。                        
招聘Java高级工程师,18-36万,上海-浦东新区,统招本科,5年以上,国内某知名互联网金融公司,专业服务(咨询/财会/法律/翻译等),               工作职责：1. 进行基础业务系统的设计和开发，包括用户系统、通知系统等。2. 分布式服务治理、架构设计、开发等3. 深入理解业务架构和产品需求，识别系统全局风险，保障系统的安全、稳定、快速运行，不断优化后端架构。任职要求：1. 全日制本科及以上学历，5年以上Java开发经验，基础扎实，优秀的编码能力及良好的开发习惯。2. 熟练掌握目前主流的开源框架（Sping／Sping MVC／MyBatis等），并对其核心思想和实现原理有一定的了解，熟悉微服务。3. 熟练掌握常用的设计模式，对抽象建模有一定的实践，有大型分布式平台型系统的设计和研发经验者优先。4. 熟练掌握MySQL常用操作，对数据库事务、锁、并发机制原理有一定的了解。5. 有高并发、大数据的处理经验，对解决问题有较强的处理能力。6. 有分布式服务治理经验者优先。7. 对技术有激情，对代码有苛刻要求。8. 有良好的快速学习能力和团队协作能力。9. 有产品意识，善于沟通，积极主动，能够以目标为导向理解工作中相关任务的处理优先级关系。            
招聘Java服务器开发工程师（网络游戏）,18-24万,上海-北蔡,大专及以上,3年以上,上海演化动漫科技有限公司,计算机软件,职位描述：1. 设计和开发网络游戏服务器端，包括服务器结构和逻辑，通信协议；2. 游戏服务器端的结构设计，核心代码编写；3. 跟客户端，策划和项目经理协调游戏的需求和技术；4. 负责游戏服务器端各功能模块的设计及实施；5. 负责游戏服务器开发进度；职位要求：1、本科及其以上学历，计算机相关专业，3年以上JAVA开发经验，必须有网络游戏开发经验。2、熟悉以上的常用技术架构，掌握TCPIP协议知识，熟悉网络编程和数据库开发；3、熟练掌握Socket通信、多线程、线程池、数据库、Mina、netty框架等；4、熟悉eclipse开发工具，Tomcat等开发环境；5、具有较好的的分析逻辑能力，能够识别编码中的潜在风险，能熟练通过工具监控、分析程序中的性能；6、拥有需求分析、软件设计和编码能力；7、责任心较好；团结协作性较强；较好的逻辑思维能力；较好的创新能力; 8、有linux服务器工作经验，对与运维协调工作熟悉;9、有线上游戏项目经验者的优先。                        
招聘xa—java开发工程师,13-20万,西安-高新区,学历不限,2年以上,某知名外企,测试工程师岗招聘,"               ""• Java, html, java scipt, Jquey, jqGid, Sping FW, Oacle• Java 以外，只属于自己的特化技术1个以上 ""            "
